Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.708333333333333
Two-Class Averaged Perceptron,0.8125
Two-Class Decision Forest,0.854166666666667
Two-Class Neural Network,0.75
Two-Class Locally-Deep Support Vector Machine,0.729166666666667
Two-Class Support Vector Machine,0.75
