Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.6875
Two-Class Averaged Perceptron,0.666666666666667
Two-Class Decision Forest,0.729166666666667
Two-Class Neural Network,0.666666666666667
Two-Class Locally-Deep Support Vector Machine,0.583333333333333
Two-Class Support Vector Machine,0.708333333333333
