Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.770833333333333
Two-Class Averaged Perceptron,0.770833333333333
Two-Class Decision Forest,0.8125
Two-Class Neural Network,0.729166666666667
Two-Class Locally-Deep Support Vector Machine,0.666666666666667
Two-Class Support Vector Machine,0.770833333333333
