Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.4375
Two-Class Averaged Perceptron,0.416666666666667
Two-Class Decision Forest,0.4375
Two-Class Neural Network,0.4375
Two-Class Locally-Deep Support Vector Machine,0.458333333333333
Two-Class Support Vector Machine,0.458333333333333
