"ADX.Period","ADX.SuccessRate","ADX.NumberOfSignals","ADX.MainPeriod","ADX.TrendBorder","ForceIndex.Period","ForceIndex.SuccessRate","ForceIndex.NumberOfSignals","ForceIndex.PeriodFI","ForceIndex.PeriodEMA","ROC.Period","ROC.SuccessRate","ROC.NumberOfSignals","ROC.PeriodROC","ROC.Percentage","ROC.PeriodSMA","ROC.PeriodClose","AROON.PeriodTendency","AROON.SuccessRate","AROON.NumberOfSignals","AROON.Period","AROON.HighValue","AROON.LowValue","StochRSI.PeriodTendency","StochRSI.SuccessRate","StochRSI.NumberOfSignals","StochRSI.PeriodRSI","StochRSI.HighSMA","StochRSI.LowSMA","StochRSI.BottomValue","StochRSI.CeilingValue","StochRSI.UptrendValue","StochRSI.DowntrendValue","ADL.Period","ADL.SuccessRate","ADL.NumberOfSignals","ADL.PeriodADL","ADL.MultiplierReversalValue","ADL.MultiplierContValue","ADL.VolumeRelChangeValue","TRIX.Period","TRIX.SuccessRate","TRIX.NumberOfSignals","TRIX.PeriodTRIX","TRIX.PeriodSignalLine","SAR.PeriodTendency","SAR.SuccessRate","SAR.NumberOfSignals","SAR.StartAF","SAR.IncreaseAF","SAR.MaxAF","BBands.PeriodTendency","BBands.SuccessRate","BBands.NumberOfSignals","BBands.Period"
1,0.517367458866545,1092,10,27,1,0.527397260273973,144,9,19,1,0.511346444780635,659,7,2,3,3,1,0.560538116591928,221,24,85,12,1,0.581039755351682,325,6,4,2,0.45,0.55,0.2,0.8,1,0.490706319702602,536,2,0.05,0.45,0.45,1,0.499079189686924,541,10,2,1,0.53207869974337,1167,0.01,0.02,0.15,1,0.511834319526627,674,6
3,0.548446069469835,1092,10,27,3,0.52046783625731,169,5,16,3,0.534013605442177,586,10,4,9,4,3,0.533106960950764,587,2,95,5,3,0.609336609336609,405,30,4,2,0.4,0.6,0.8,0.2,3,0.527827648114901,555,10,0.9,0.25,0.03,3,0.537001897533207,525,8,3,3,0.551753635585971,1167,0.02,0.04,0.18,3,0.493525179856115,693,5
7,0.541133455210238,1092,10,27,7,0.573099415204678,169,5,16,7,0.529045643153527,480,5,3,2,2,7,0.58641975308642,160,15,85,1,7,0.667857142857143,278,28,4,2,0.0999999999999999,0.9,0.65,0.35,7,0.531568228105906,489,10,0.85,0.4,0.03,7,0.570264765784114,489,8,9,7,0.562018819503849,1167,0.01,0.01,0.22,7,0.522302158273381,693,5
14,0.520109689213894,1092,10,27,14,0.566433566433566,141,7,16,14,0.533648170011806,845,12,1,2,2,14,0.593457943925234,212,14,90,8,14,0.720238095238095,334,22,4,2,0.4,0.6,0.64,0.36,14,0.527156549520767,624,8,0.95,0.1,0.13,14,0.563352826510721,511,8,5,14,0.556030795551754,1167,0.03,0.01,0.16,14,0.493525179856115,693,53
30,0.525594149908592,1092,10,27,30,0.641414141414141,196,24,15,30,0.536,623,7,3,2,2,30,0.546987951807229,413,3,95,6,30,0.685589519650655,456,15,7,3,0.35,0.65,0.65,0.35,30,0.582278481012658,393,3,0.95,0.55,0.08,30,0.553752535496957,491,3,7,30,0.55688622754491,1167,0.01,0.03,0.22,30,0.536585365853659,695,54
