Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.495
Two-Class Averaged Perceptron,0.515
Two-Class Decision Forest,0.49
Two-Class Neural Network,0.49
Two-Class Locally-Deep Support Vector Machine,0.535
Two-Class Support Vector Machine,0.5
