Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.58
Two-Class Averaged Perceptron,0.57
Two-Class Decision Forest,0.605
Two-Class Neural Network,0.585
Two-Class Locally-Deep Support Vector Machine,0.515
Two-Class Support Vector Machine,0.57
