Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.717741935483871
Two-Class Averaged Perceptron,0.669354838709677
Two-Class Decision Forest,0.685483870967742
Two-Class Neural Network,0.685483870967742
Two-Class Locally-Deep Support Vector Machine,0.733870967741936
Two-Class Support Vector Machine,0.75
