Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.6875
Two-Class Averaged Perceptron,0.4375
Two-Class Decision Forest,0.5625
Two-Class Neural Network,0.520833333333333
Two-Class Locally-Deep Support Vector Machine,0.6875
Two-Class Support Vector Machine,0.458333333333333
