Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.585
Two-Class Averaged Perceptron,0.63
Two-Class Decision Forest,0.6
Two-Class Neural Network,0.63
Two-Class Locally-Deep Support Vector Machine,0.61
Two-Class Support Vector Machine,0.64
