Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.563636363636364
Two-Class Averaged Perceptron,0.52
Two-Class Decision Forest,0.570909090909091
Two-Class Neural Network,0.494545454545455
Two-Class Locally-Deep Support Vector Machine,0.56
Two-Class Support Vector Machine,0.487272727272727
