Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.57
Two-Class Averaged Perceptron,0.565
Two-Class Decision Forest,0.62
Two-Class Neural Network,0.595
Two-Class Locally-Deep Support Vector Machine,0.58
Two-Class Support Vector Machine,0.585
