Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.693548387096774
Two-Class Averaged Perceptron,0.717741935483871
Two-Class Decision Forest,0.693548387096774
Two-Class Neural Network,0.661290322580645
Two-Class Locally-Deep Support Vector Machine,0.637096774193548
Two-Class Support Vector Machine,0.701612903225806
