Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.48
Two-Class Averaged Perceptron,0.574285714285714
Two-Class Decision Forest,0.505714285714286
Two-Class Neural Network,0.574285714285714
Two-Class Locally-Deep Support Vector Machine,0.508571428571429
Two-Class Support Vector Machine,0.551428571428571
