Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.605
Two-Class Averaged Perceptron,0.625
Two-Class Decision Forest,0.64
Two-Class Neural Network,0.665
Two-Class Locally-Deep Support Vector Machine,0.58
Two-Class Support Vector Machine,0.66
