Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.508064516129032
Two-Class Averaged Perceptron,0.564516129032258
Two-Class Decision Forest,0.564516129032258
Two-Class Neural Network,0.57258064516129
Two-Class Locally-Deep Support Vector Machine,0.548387096774194
Two-Class Support Vector Machine,0.516129032258065
