Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.577142857142857
Two-Class Averaged Perceptron,0.525714285714286
Two-Class Decision Forest,0.554285714285714
Two-Class Neural Network,0.531428571428571
Two-Class Locally-Deep Support Vector Machine,0.608571428571429
Two-Class Support Vector Machine,0.514285714285714
