Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.555
Two-Class Averaged Perceptron,0.59
Two-Class Decision Forest,0.56
Two-Class Neural Network,0.52
Two-Class Locally-Deep Support Vector Machine,0.5
Two-Class Support Vector Machine,0.525
