Algorithm,Accuracy
Two-Class Boosted Decision Tree,0.508064516129032
Two-Class Averaged Perceptron,0.435483870967742
Two-Class Decision Forest,0.459677419354839
Two-Class Neural Network,0.516129032258065
Two-Class Locally-Deep Support Vector Machine,0.556451612903226
Two-Class Support Vector Machine,0.508064516129032
